key,title,authors,year,venue,doi_or_identifier,status,central_claim,what_it_establishes,what_it_does_not_establish,relation,primary_source,method,exact_manuscript_sentence_supported,primary_source_verified
AIScientistV2_2025,The AI Scientist-v2: Workshop-level automated scientific discovery via agentic tree search,Sakana AI team et al.,2025,arXiv,arXiv:2504.08066,preprint,Uses agentic tree search for automated ML research,Expanded automated workflow,Formal jump predicate,broader agent system,https://arxiv.org/abs/2504.08066,multi-agent or end-to-end scientific workflow,Language-model agents automate multiple stages of scientific workflows.,yes
CoScientist2026,Accelerating scientific discovery with Co-Scientist,J. Gottweis et al.,2026,Nature,10.1038/s41586-026-10644-y,published,Multi-agent system generates ranks and refines hypotheses with expert and experimental validation,Broad co-scientist workflow and domain evidence,Isolated proposal bottleneck,nearest agent system,https://doi.org/10.1038/s41586-026-10644-y,multi-agent scientific workflow with validation,"Multi-agent scientific systems combine proposal, critique, ranking and empirical validation.",yes
Robin2026,A multi-agent system for automating scientific discovery,A. E. Ghareeb et al.,2026,Nature,10.1038/s41586-026-10652-y,published,Integrates agents across hypothesis planning and analysis,Broad autonomous scientific workflow,Formal representation escape,nearest agent system,https://doi.org/10.1038/s41586-026-10652-y,multi-agent scientific workflow with validation,"Multi-agent scientific systems combine proposal, critique, ranking and empirical validation.",yes
PiEvo2026,Principle-Evolvable Scientific Discovery via Uncertainty Minimization,Yingming Pu; Tao Lin; Hongyu Chen,2026,ICML/PMLR 306,,published,Frames scientific discovery as optimization over an expanding principle space,Open-space discovery across four benchmarks,Canonical non-membership and exact replay,nearest open-space predecessor,https://arxiv.org/abs/2602.06448,LLM-guided principle evolution,Recent work explicitly evaluates expansion of principle spaces.,yes
ModelDiscoveryAgent2026,Model Discovery Agent: LLM-assisted Bayesian experiment design for data-efficient discovery of mechanistic world models,Kevin Murphy,2026,arXiv,arXiv:2608.09696,preprint,Combines an LLM proposer with Bayesian experiment design in an M-open setting,Mechanistic model discovery across physics chemistry and biology,Canonical non-membership certificate,nearest mechanistic predecessor,https://arxiv.org/abs/2608.09696,LLM proposal plus Bayesian experiment design,Recent work explicitly expands hypothesis classes and uses interventions.,yes
HypoArena2026,Before the Action: Benchmarking LLMs on Prospective Hypothesis Discovery,Tianyun Zhong et al.,2026,arXiv,arXiv:2607.15766,preprint,Evaluates prospective hypothesis discovery using context regression and judging,988 cases across six domains and 15 frontier models,Frozen formal language or exact structural certificate,nearest prospective benchmark,https://arxiv.org/abs/2607.15766,benchmark construction and model evaluation,Recent work evaluates prospective hypothesis discovery at broad model and domain scale.,yes
Bran2024ChemCrow,Augmenting large language models with chemistry tools,Andres M. Bran et al.,2024,Nature Machine Intelligence,10.1038/s42256-024-00832-8,published,Tool augmentation improves chemistry task execution,Domain agent utility,General discovery or representation invention,domain precedent,https://doi.org/10.1038/s42256-024-00832-8,domain-specific agent or predictive evaluation,Tool-augmented language models can assist domain-specific scientific tasks.,yes
Boiko2023,Autonomous chemical research with large language models,Daniil A. Boiko et al.,2023,Nature,10.1038/s41586-023-06792-0,published,LLM agents plan and execute chemistry workflows,Autonomous tool-using chemistry demonstrations,Out-of-grammar theory invention,domain precedent,https://doi.org/10.1038/s41586-023-06792-0,domain-specific agent or predictive evaluation,Tool-augmented language models can assist domain-specific scientific tasks.,yes
Zheng2025LLM4SD,Large language models for scientific discovery in molecular property prediction,Yizhen Zheng et al.,2025,Nature Machine Intelligence,10.1038/s42256-025-00994-z,published,LLM-derived knowledge features aid molecular prediction,Interpretable domain prediction framework,General scientific discovery,domain precedent,https://doi.org/10.1038/s42256-025-00994-z,domain-specific agent or predictive evaluation,Tool-augmented language models can assist domain-specific scientific tasks.,yes
Rankovic2026,Large language models as uncertainty-calibrated optimizers for experimental discovery,Bojana Rankovic et al.,2026,Nature Machine Intelligence,10.1038/s42256-026-01283-z,published,Calibrated LLM optimizer selects experiments across domains,Experimental optimization,Representation escape,domain precedent,https://doi.org/10.1038/s42256-026-01283-z,domain-specific agent or predictive evaluation,Tool-augmented language models can assist domain-specific scientific tasks.,yes
KoivistoGrassini2023,Best humans still outperform artificial intelligence in a creative divergent thinking task,Mika Koivisto and Simone Grassini,2023,Scientific Reports,10.1038/s41598-023-40858-3,published,Chatbots exceed average humans while best humans remain competitive,AUT creativity comparison,Scientific representation invention,creativity evidence,https://doi.org/10.1038/s41598-023-40858-3,controlled human–AI creativity comparison,Language models can exceed average human performance on some divergent-thinking measures.,yes
Hubert2024,A comparison of human and AI creativity across domains,Karim F. Hubert et al.,2024,Scientific Reports,10.1038/s41598-024-53303-w,published,GPT-4 scores highly on divergent-thinking tasks,Product-level creativity evidence,Scientific discovery capability,creativity evidence,https://doi.org/10.1038/s41598-024-53303-w,controlled human–AI creativity comparison,Language models can exceed average human performance on some divergent-thinking measures.,yes
Haase2025,Artificial muses: Generative artificial intelligence chatbots have risen to human-level creativity,Jennifer Haase et al.,2025,Journal of Creativity,10.1016/j.yjoc.2025.100113,published,Fourteen LLMs show strong average AUT performance and high variability,Broad model comparison,Representation-level scientific escape,creativity evidence,https://doi.org/10.1016/j.yjoc.2025.100113,controlled human–AI creativity comparison,Language models can exceed average human performance on some divergent-thinking measures.,yes
DingLi2025,Generative AI lacks the human creativity to achieve scientific discovery from scratch,Amy Wenxuan Ding and Shibo Li,2025,Scientific Reports,10.1038/s41598-025-93794-9,published,One reconstruction task showed mainly incremental AI assistance,Task-specific limitation evidence,Universal inability theorem,adversarial evidence,https://doi.org/10.1038/s41598-025-93794-9,single-task scientific-discovery reconstruction,One reconstruction study found mainly incremental assistance rather than discovery from scratch.,yes
Pearl2009,Causality: Models Reasoning and Inference,Judea Pearl,2009,Cambridge University Press,9780521895606,book,Intervention distinguishes causal models,Formal intervention semantics,Representation jump,causal foundation,https://www.cambridge.org/core/books/causality/B0046844FAE10CBF274D4ACBDAEB5F5B,formal causal analysis,Interventions can distinguish models that are compatible with the same observations.,yes
Spirtes2000,Causation Prediction and Search,Peter Spirtes et al.,2000,MIT Press,9780262194402,book,Graphical causal discovery from assumptions and data,Causal discovery foundation,LLM representation invention,causal foundation,https://mitpress.mit.edu/9780262194402/causation-prediction-and-search/,formal causal analysis,Interventions can distinguish models that are compatible with the same observations.,yes
Peters2017,Elements of Causal Inference,Jonas Peters et al.,2017,MIT Press,9780262037310,book,Connects causal models interventions and inference,Modern causal inference foundation,Benchmark novelty,causal foundation,https://mitpress.mit.edu/9780262037310/elements-of-causal-inference/,formal causal analysis,Interventions can distinguish models that are compatible with the same observations.,yes
Zahavy2026,Position: LLMs Can't Jump,Tomer Zahavy,2026,ICML position paper/OpenPrint,OpenPrint:20260728.0010v1,position paper,Argues current LLMs lack abductive conceptual jumps,A published philosophical position,An impossibility proof or empirical benchmark,adversarial framing,https://cspaper.org/openprint/20260728.0010v1,philosophical position argument,A recent position paper argues that current language models cannot make abductive conceptual jumps.,yes
NMIFramework2024,What is in your LLM-based framework?,Nature Machine Intelligence editors,2024,Nature Machine Intelligence,10.1038/s42256-024-00896-6,editorial,Requests transparent model and pipeline reporting,Journal reporting expectation,Empirical result,journal policy,https://doi.org/10.1038/s42256-024-00896-6,editorial policy/guidance,"NMI asks authors to disclose models, workflows, oversight and reproducibility consequences.",yes
NMIMultiAgent2026,Multi-agent AI systems need transparency,Nature Machine Intelligence editors,2026,Nature Machine Intelligence,10.1038/s42256-026-01183-2,editorial,Requests motivation component comparisons compute and human-oversight disclosure,Journal editorial expectation,Scientific evidence about agents,journal policy,https://doi.org/10.1038/s42256-026-01183-2,editorial policy/guidance,"NMI asks authors to disclose models, workflows, oversight and reproducibility consequences.",yes
Ektefaie2024,Evaluating generalizability of artificial intelligence models for molecular datasets,Yasha Ektefaie et al.,2024,Nature Machine Intelligence,10.1038/s42256-024-00931-6,published,Cross-split similarity can inflate apparent generalization,Generalization audit principle,Specific contamination in this benchmark,evaluation precedent,https://doi.org/10.1038/s42256-024-00931-6,controlled benchmark or audit,Strong benchmark performance requires mechanism-sensitive and generalization-aware interpretation.,yes
Steyvers2025,What large language models know and what people think they know,Mark Steyvers et al.,2025,Nature Machine Intelligence,10.1038/s42256-024-00976-7,published,Human trust can be miscalibrated by LLM explanations,Need for calibrated interpretation,Representation escape,evaluation precedent,https://doi.org/10.1038/s42256-024-00976-7,controlled benchmark or audit,Strong benchmark performance requires mechanism-sensitive and generalization-aware interpretation.,yes
Kauffmann2025,Explainable AI reveals Clever Hans effects in unsupervised learning models,Jacob Kauffmann et al.,2025,Nature Machine Intelligence,10.1038/s42256-025-01000-2,published,Strong benchmark scores may rely on spurious strategies,Need for mechanism-sensitive evaluation,A Clever Hans effect in this study,evaluation precedent,https://doi.org/10.1038/s42256-025-01000-2,controlled benchmark or audit,Strong benchmark performance requires mechanism-sensitive and generalization-aware interpretation.,yes
Kim2026,Capable language models can outgrow the benefits of collaboration,Yubin Kim et al.,2026,Nature Machine Intelligence,10.1038/s42256-026-01268-y,published,Controlled comparison identifies when multi-agent coordination helps,Value of matched component comparisons,Representation invention,style and evaluation precedent,https://doi.org/10.1038/s42256-026-01268-y,primary literature analysis,This reference provides adjacent background but is not currently cited in the main manuscript.,yes
